query,prediction,predicted_intent,confidence,needs_review,strategy,model,retrieved_examples,latency_ms,input_tokens,output_tokens,total_tokens,estimated_cost_usd,cached,raw_text,true_intent
Can I use any card and currency?,"intent='supported_cards_and_currencies' confidence=0.95 needs_review=False raw_response='{""intent"":""supported_cards_and_currencies"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",supported_cards_and_currencies,0.95,False,one_shot,openai/gpt-oss-20b,[],5046.795199999906,621,109,730,0.00014600000000000003,False,"{""intent"":""supported_cards_and_currencies"",""confidence"":0.95,""needs_review"":false}",supported_cards_and_currencies
I accidentally put in the wrong pin too many times and now I need to unblock it. Can you assist with this?,"intent='pin_blocked' confidence=0.99 needs_review=False raw_response='{""intent"":""pin_blocked"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",pin_blocked,0.99,False,one_shot,openai/gpt-oss-20b,[],1887.8874000001815,636,96,732,0.0001464,False,"{""intent"":""pin_blocked"",""confidence"":0.99,""needs_review"":false}",pin_blocked
What do I do to get ahold of my own card?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,one_shot,openai/gpt-oss-20b,[],4910.124399999404,597,150,747,0.0001494,False,,order_physical_card
"I need to transfer money into my account, HOW?","intent='transfer_into_account' confidence=0.99 needs_review=False raw_response='{""intent"":""transfer_into_account"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",transfer_into_account,0.99,False,one_shot,openai/gpt-oss-20b,[],2097.287900000083,623,92,715,0.000143,False,"{""intent"":""transfer_into_account"",""confidence"":0.99,""needs_review"":false}",transfer_into_account
Where can I find the exchange rate for my transfer?,"intent='exchange_rate' confidence=0.95 needs_review=False raw_response='{""intent"":""exchange_rate"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",exchange_rate,0.95,False,one_shot,openai/gpt-oss-20b,[],4719.76369999993,624,110,734,0.0001468,False,"{""intent"":""exchange_rate"",""confidence"":0.95,""needs_review"":false}",exchange_rate
Why am I charged a fee for withdrawing cash?,"intent='cash_withdrawal_charge' confidence=0.95 needs_review=False raw_response='{""intent"":""cash_withdrawal_charge"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",cash_withdrawal_charge,0.95,False,one_shot,openai/gpt-oss-20b,[],5879.309199999625,623,83,706,0.0001412,False,"{""intent"":""cash_withdrawal_charge"",""confidence"":0.95,""needs_review"":false}",cash_withdrawal_charge
When will my top up process?,"intent='pending_top_up' confidence=0.9 needs_review=False raw_response='{""intent"":""pending_top_up"",""confidence"":0.9,""needs_review"":false}' parsing_error=None",pending_top_up,0.9,False,one_shot,openai/gpt-oss-20b,[],4561.2333999997645,619,143,762,0.00015240000000000002,False,"{""intent"":""pending_top_up"",""confidence"":0.9,""needs_review"":false}",pending_top_up
"Since I got married, I need to change my name.","intent='edit_personal_details' confidence=0.99 needs_review=False raw_response='{""intent"":""edit_personal_details"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",edit_personal_details,0.99,False,one_shot,openai/gpt-oss-20b,[],2905.438700000559,625,84,709,0.0001418,False,"{""intent"":""edit_personal_details"",""confidence"":0.99,""needs_review"":false}",edit_personal_details
I am on vacation in Spain and need to change my pin.,"intent='change_pin' confidence=0.99 needs_review=False raw_response='{""intent"":""change_pin"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",change_pin,0.99,False,one_shot,openai/gpt-oss-20b,[],4851.352399999996,625,71,696,0.0001392,False,"{""intent"":""change_pin"",""confidence"":0.99,""needs_review"":false}",change_pin
How many transactions can I do with my disposable card?,"intent='disposable_card_limits' confidence=0.95 needs_review=False raw_response='{""intent"":""disposable_card_limits"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",disposable_card_limits,0.95,False,one_shot,openai/gpt-oss-20b,[],5760.002900000472,624,87,711,0.0001422,False,"{""intent"":""disposable_card_limits"",""confidence"":0.95,""needs_review"":false}",disposable_card_limits
"I have received my statement but I do not see my refund, why is that?","intent='refund_not_showing_up' confidence=0.95 needs_review=True raw_response='{""intent"":""Refund_not_showing_up"",""confidence"":0.95,""needs_review"":false}' parsing_error=""Intent 'refund_not_showing_up' is not one of the 77 valid BANKING77 intents""",refund_not_showing_up,0.95,True,one_shot,openai/gpt-oss-20b,[],4847.52109999954,629,118,747,0.0001494,False,"{""intent"":""Refund_not_showing_up"",""confidence"":0.95,""needs_review"":false}",Refund_not_showing_up
What do I need to do in order to get a new card?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,one_shot,openai/gpt-oss-20b,[],6018.315299999813,598,150,748,0.0001496,False,,order_physical_card
Tell me more about getting a virtual disposable card.,"intent='get_disposable_virtual_card' confidence=0.99 needs_review=False raw_response='{""intent"":""get_disposable_virtual_card"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",get_disposable_virtual_card,0.99,False,one_shot,openai/gpt-oss-20b,[],5450.324099999307,623,112,735,0.000147,False,"{""intent"":""get_disposable_virtual_card"",""confidence"":0.99,""needs_review"":false}",get_disposable_virtual_card
I made a transaction at an atm and was charged extra for it.,"intent='cash_withdrawal_charge' confidence=0.9 needs_review=False raw_response='{""intent"":""cash_withdrawal_charge"",""confidence"":0.9,""needs_review"":false}' parsing_error=None",cash_withdrawal_charge,0.9,False,one_shot,openai/gpt-oss-20b,[],5057.060799999817,626,129,755,0.000151,False,"{""intent"":""cash_withdrawal_charge"",""confidence"":0.9,""needs_review"":false}",cash_withdrawal_charge
My salary is deposited in GBP. Do I need to choose the currency?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,one_shot,openai/gpt-oss-20b,[],6108.7735999999495,599,150,749,0.0001498,False,,receiving_money
