query,prediction,predicted_intent,confidence,needs_review,strategy,model,retrieved_examples,latency_ms,input_tokens,output_tokens,total_tokens,estimated_cost_usd,cached,raw_text,true_intent
Where can I find the exchange rate for my transfer?,"intent='exchange_rate' confidence=0.95 needs_review=False raw_response='{""intent"":""exchange_rate"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",exchange_rate,0.95,False,zero_shot,openai/gpt-oss-20b,[],4870.280000000093,605,101,706,0.00014120000000000002,False,"{""intent"":""exchange_rate"",""confidence"":0.95,""needs_review"":false}",exchange_rate
Why am I charged a fee for withdrawing cash?,"intent='cash_withdrawal_charge' confidence=0.95 needs_review=False raw_response='{""intent"":""cash_withdrawal_charge"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",cash_withdrawal_charge,0.95,False,zero_shot,openai/gpt-oss-20b,[],5671.247199999925,604,89,693,0.0001386,False,"{""intent"":""cash_withdrawal_charge"",""confidence"":0.95,""needs_review"":false}",cash_withdrawal_charge
When will my top up process?,"intent='pending_top_up' confidence=0.95 needs_review=False raw_response='{""intent"":""pending_top_up"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",pending_top_up,0.95,False,zero_shot,openai/gpt-oss-20b,[],4796.692300000359,572,107,679,0.00013580000000000002,False,"{""intent"":""pending_top_up"",""confidence"":0.95,""needs_review"":false}",pending_top_up
"Since I got married, I need to change my name.","intent='edit_personal_details' confidence=0.99 needs_review=False raw_response='{""intent"":""edit_personal_details"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",edit_personal_details,0.99,False,zero_shot,openai/gpt-oss-20b,[],4993.148600000495,606,91,697,0.0001394,False,"{""intent"":""edit_personal_details"",""confidence"":0.99,""needs_review"":false}",edit_personal_details
I am on vacation in Spain and need to change my pin.,"intent='change_pin' confidence=0.99 needs_review=False raw_response='{""intent"":""change_pin"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",change_pin,0.99,False,zero_shot,openai/gpt-oss-20b,[],5632.005999999819,606,87,693,0.0001386,False,"{""intent"":""change_pin"",""confidence"":0.99,""needs_review"":false}",change_pin
How many transactions can I do with my disposable card?,"intent='disposable_card_limits' confidence=0.99 needs_review=False raw_response='{""intent"":""disposable_card_limits"",""confidence"":0.99,""needs_review"":false}' parsing_error=None",disposable_card_limits,0.99,False,zero_shot,openai/gpt-oss-20b,[],4961.372400000073,605,85,690,0.000138,False,"{""intent"":""disposable_card_limits"",""confidence"":0.99,""needs_review"":false}",disposable_card_limits
"I have received my statement but I do not see my refund, why is that?","intent='refund_not_showing_up' confidence=0.95 needs_review=True raw_response='{""intent"":""Refund_not_showing_up"",""confidence"":0.95,""needs_review"":false}' parsing_error=""Intent 'refund_not_showing_up' is not one of the 77 valid BANKING77 intents""",refund_not_showing_up,0.95,True,zero_shot,openai/gpt-oss-20b,[],5894.417400000748,610,120,730,0.000146,False,"{""intent"":""Refund_not_showing_up"",""confidence"":0.95,""needs_review"":false}",Refund_not_showing_up
What do I need to do in order to get a new card?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,zero_shot,openai/gpt-oss-20b,[],5087.502499999573,579,150,729,0.0001458,False,,order_physical_card
Tell me more about getting a virtual disposable card.,"intent='get_disposable_virtual_card' confidence=0.95 needs_review=False raw_response='{""intent"":""get_disposable_virtual_card"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",get_disposable_virtual_card,0.95,False,zero_shot,openai/gpt-oss-20b,[],5745.061100000385,604,89,693,0.0001386,False,"{""intent"":""get_disposable_virtual_card"",""confidence"":0.95,""needs_review"":false}",get_disposable_virtual_card
I made a transaction at an atm and was charged extra for it.,"intent='cash_withdrawal_charge' confidence=0.95 needs_review=False raw_response='{""intent"":""cash_withdrawal_charge"",""confidence"":0.95,""needs_review"":false}' parsing_error=None",cash_withdrawal_charge,0.95,False,zero_shot,openai/gpt-oss-20b,[],4939.598500000102,607,134,741,0.00014820000000000002,False,"{""intent"":""cash_withdrawal_charge"",""confidence"":0.95,""needs_review"":false}",cash_withdrawal_charge
My salary is deposited in GBP. Do I need to choose the currency?,intent='unknown' confidence=0.0 needs_review=True raw_response='' parsing_error='Empty or whitespace response',unknown,0.0,True,zero_shot,openai/gpt-oss-20b,[],4976.86160000012,580,150,730,0.000146,False,,receiving_money
