text,category,orig_idx
The exchange rate I was charged for a purchase was not right.,card_payment_wrong_exchange_rate,407
What can I do to verify my card?,verify_top_up,7789
What's taking my top-up so long?,pending_top_up,2061
Yesterday my phone was stolen from me :( What do i need to do about it?,lost_or_stolen_phone,5337
am afraid someone may have gained access to the info on my card.,compromised_card,4496
"I tried to get money out of the Notting Hill ATM earlier, but I wasn't able to get anything out. Is there a problem with my card? It's the first time I tried using it.",declined_cash_withdrawal,5044
Am I able to top up with Apple Pay?,apple_pay_or_google_pay,9669
How long does it take to receive my card?,card_delivery_estimate,1087
I had to pay one pound more than the set price!,extra_charge_on_statement,723
My statement shows an extra fee - what is it?,extra_charge_on_statement,728
Can you explain the transfer fee that I was charged?,transfer_fee_charged,7287
Why won't my top up go through?,top_up_reverted,3195
How is my card payment still pending?,pending_card_payment,5122
Is it possible someone has access to my card? I noticed that there are a couple of payments in the app I'm sure I did not make. Can you find out what's going on here?,card_payment_not_recognised,3532
In regards to the PIN of the card?,get_physical_card,4068
"My money has gone missing. I had recently added money in, and saw it was there and went through. Now it's missing. What is happening?",top_up_reverted,3289
I made a mistake and need to cancel a transfer.,cancel_transfer,2130
If my identy verifacation hasn't gone through can I use my account?,why_verify_identity,3805
How can I request cash back? The ATM just gave me a different amount than what I've been actually charged though...,wrong_amount_of_cash_received,2490
Do I have a Visa card as an option?,visa_or_mastercard,4124
How do I know where my funds come from?,verify_source_of_funds,6546
My transaction from earlier needs to be reversed.,cancel_transfer,2218
Can I add money to top up my account via a bank transfer?,transfer_into_account,7622
Why has my top up not gone through yet?,pending_top_up,1985
"I would like to track a card sent to me, how do I do that?",card_arrival,98
Can I use this app to exchange between dollars and pounds?,exchange_via_app,1422
I could not get my card to work at a shop.,declined_card_payment,5911
"Hi there, earlier today I tried to take money out of an ATM machine, and something wasn't working.  I didn't actually receive the money, but I just checked and it says that the transaction is still pending.  Can you tell me what's going on here? Am I still being charged for the withdrawal even though I didn't end up getting any money?",pending_cash_withdrawal,771
I live in the EU.  Can I order one of your cards?,country_support,9948
If I am running low on credit can I auto top up?,automatic_top_up,1158
Why cant I transfer to my account?,beneficiary_not_allowed,7135
The card is non-functional.,card_not_working,1320
I notice there's a pending payment on my card.,pending_card_payment,5121
Can you  tell me how to get AUD not GBP?,exchange_via_app,1457
Why am I not seeing the check I deposited this morning in my account?,balance_not_updated_after_cheque_or_cash_deposit,3392
The app doesn't believe that I am myself,unable_to_verify_identity,3980
I'm concerned because my cash withdrawal is pending.,pending_cash_withdrawal,818
Why hasn't the transaction I did to my friend arrive yet?,transfer_not_received_by_recipient,2730
Is the 1 pound charge going to be reimbursed on my card?,extra_charge_on_statement,711
Tell me about the limit for top ups.,top_up_limits,2290
I don't have my card in 1 week.  Should I be worried?,card_arrival,16
Was there a problem with topping up?,top_up_failed,8609
Will there be a fee to receive a physical card?,order_physical_card,8160
I got a message that my transfer is not possible.  What is happening?  I need this to go through please.,beneficiary_not_allowed,7011
How high is the exchange fee?,exchange_charge,9027
"I tried using a check to update my balance, but it isn't work? Is something wrong?",balance_not_updated_after_cheque_or_cash_deposit,3303
how long should i wait ti activate my card,activate_my_card,9246
Why did I only get $20 now the full amount I wanted?,wrong_amount_of_cash_received,2377
I'm interested in learning more about product refunds.,request_refund,5379
My ATM withdrawal was declined.,declined_cash_withdrawal,4961
I forgot my pin and am blocked now. Can I reset it somewhere?,pin_blocked,1741
Do I have to pay for a physical card?,order_physical_card,8051
How can I reset my PIN?,change_pin,6943
"Hello, I am buying a flat and need the inital payment for the mortgage to go through. It keeps showing up as error, what is going on? Can you please help me make this transfer?",failed_transfer,7486
I didn't know there was a charge for tranferring. What is the charge?,transfer_fee_charged,7163
Do you charge extra for duplicate cards?,getting_spare_card,7882
"I'm interested in using fiat currencies, which do you support?",fiat_currency_support,946
Which fiat currencies are supported for holding and exchanging?,fiat_currency_support,983
My account did not allow the transfer.,beneficiary_not_allowed,7085
How can I solve my issue with holding multiple currencies?,fiat_currency_support,927
Did a WD earlier at an ATM.  The amount showing in the App is more than I got though.,wrong_amount_of_cash_received,2341
The ATM I'm standing in front of only gave me 10 pounds rather than the 30 pounds I wanted. The app shows I took out 30 pounds also. What do I need to do to fix this?,wrong_amount_of_cash_received,2493
What are the reasons why a card payment would be declined?,declined_card_payment,5846
I'd like to know how transferring my money into my account works.,transfer_into_account,7609
the exchange rate was different than expected,wrong_exchange_rate_for_cash_withdrawal,8331
The transfer to my account was not allowed.,beneficiary_not_allowed,7090
My new card has not been delivered to my home yet. What is going on?,card_arrival,18
Where do I pay with my card?,card_acceptance,3137
I sent a transfer to a friend that needs it urgently. It has already been 2 hours and still hasn't come through to her. How long does it normally take?,transfer_not_received_by_recipient,2864
Why is this payment on my app,card_payment_not_recognised,3552
Why is my transfer not showing,balance_not_updated_after_bank_transfer,8752
"i needed money for a night out with the girls but i was declined, why?",declined_cash_withdrawal,4922
I entered a wrong PIN too many times. How can I fix this?,pin_blocked,1683
Are there any fees when exchanging to foreign currencies?,exchange_charge,9051
I don't have a way to prove my identity.,unable_to_verify_identity,3961
Why is your exchange rate so bad?,card_payment_wrong_exchange_rate,444
I sent a cheque a few days ago and i noticed that no money has been put on my account. Can you please tell me the situation of my account?,balance_not_updated_after_cheque_or_cash_deposit,3378
Tell me how to top up my account using bank transfer.,transfer_into_account,7653
I'm having trouble proving my identity,unable_to_verify_identity,3900
Can I get a Visa from you?,visa_or_mastercard,4219
For what reason can I not transfer money to a beneficiary?,beneficiary_not_allowed,7065
I bought something and now I want a refund.,request_refund,5509
I found a direct debit I would like to dispute,direct_debit_payment_not_recognised,4730
Why was I charged a fee on a cash withdrawal?,cash_withdrawal_charge,9479
How come there is a duplicate charge on my card?,transaction_charged_twice,6441
I just got married and need to change my name on the account,edit_personal_details,3730
Can I choose what card I can use,visa_or_mastercard,4233
Is there any way to get my salary in a different currency?,receiving_money,7407
"I have an account at another bank, but I want to transfer some of the money to my account here.
.",transfer_into_account,7602
How do I get my card to work?,card_not_working,1312
Won't let me top my card up!! Who can get it sorted out for me? It's urgent! How do I find out what the problem is with my card and how else to top it up?,top_up_failed,8607
"My card was supposed to arrive, but hasn't?",card_arrival,73
how do i setup my apple pay,apple_pay_or_google_pay,9742
What should I do?  My card has been stolen!,lost_or_stolen_card,1554
Looks like my top up failed.,top_up_failed,8495
i want to get a card but i live in the US,country_support,9969
Is there a problem that makes my payments show pending?,pending_card_payment,5196
"What is this card payment, I do not recognize it.",card_payment_not_recognised,3638
At which locations can I order a card?,order_physical_card,8124
How can I get my money that I didn't get from the ATM?,wrong_amount_of_cash_received,2486
I am having trouble activating my card.,activate_my_card,9241
I think my account has been hacked there are charges on there I don't recognize.,compromised_card,4461
Is the top-up amount unlimited?,top_up_limits,2299
How much transactions do I get with a disposable card?,disposable_card_limits,4454
Are there any discounts in exchanging currencies frequently?,exchange_charge,8969
I sent a transfer and it has been pending for awhile. How long will it stay pending?,pending_transfer,6000
I have a problem with a transfer. It didn't work. Can you tell me why?,declined_transfer,5560
can my husband open an account and transfer money,receiving_money,7377
The ATM wouldn't allow me to withdraw money,declined_cash_withdrawal,5046
How do I track the card you sent to me?,card_arrival,116
"I have done a transfer within the country the day before yesterday, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that several times already.",transfer_not_received_by_recipient,2844
How far is the closest ATM from me?,atm_support,4620
I believe my card payment has reverted,reverted_card_payment?,6876
I prefer to get a Mastercard.,visa_or_mastercard,4156
Can I exchange currencies usign this app?,exchange_via_app,1459
What should I do after I've moved and need to update my personal details?,edit_personal_details,3761
Why do I still have a pending cash withdrawal?,pending_cash_withdrawal,776
I have been charged a pound for something that appears on my statement,extra_charge_on_statement,584
What am i missing to verify my id?,unable_to_verify_identity,3942
What limits are there on the virtual cards?,disposable_card_limits,4399
How are the exchange rates determined?,exchange_rate,372
I use GBP for my salary deposits. Must I set this up somewhere?,receiving_money,7390
How do I change to a different currency?,exchange_via_app,1396
Was there a number to track that I could get?,card_arrival,146
I have used all of my PIN tries. What should I do now?,pin_blocked,1759
What are Interbanks current exchange rates?,exchange_rate,327
Why is verifaction required for my Identity?,why_verify_identity,3861
how do I get my card to show in the app?,card_linking,155
Do I need to speak to a representative to change my pin?,change_pin,6896
How long will I have to wait for my new card?,card_delivery_estimate,1036
A while ago i requested a refund from a seller. I keep checking my statement but I have not been refunded yet. I'm confused why i haven't gotten my money back yet but I need your help getting it please.,Refund_not_showing_up,5745
"Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?",card_payment_wrong_exchange_rate,405
"Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me?",pending_cash_withdrawal,805
What kind of fiat currencies are supported for holding and exchange?,fiat_currency_support,935
What number of transactions can i do with one disposable card?,disposable_card_limits,4351
Last week I put a cash deposit into my account and it is still isn't there.,balance_not_updated_after_cheque_or_cash_deposit,3317
I no longer want to keep this account.,terminate_account,6207
Does my account have the option to hold multiple currencies?,fiat_currency_support,968
I can't get a contactless payment to work.,contactless_not_working,1794
What do I do if my phone was stolen?,lost_or_stolen_phone,5269
HOW LONG THE CARD VALIDITY,card_not_working,1263
Why do you need to check my identity?,why_verify_identity,3874
Can I have a Visa card?,visa_or_mastercard,4133
Can you assist on apple watch top ups?,apple_pay_or_google_pay,9753
Where can I change my PIN?,change_pin,6936
Can you tell me the cost of a transfer?,top_up_by_bank_transfer_charge,1824
I got a new address and need to change my old one.,edit_personal_details,3720
My top-up appears to be pending.,pending_top_up,2032
I tried to transfer but it was declined,declined_transfer,5610
"A strange card payment, I do not recognize it.",card_payment_not_recognised,3492
I have a card payment which shows as pending,pending_card_payment,5101
Did  my transfer fail?,failed_transfer,7444
I requested money from the ATM and it didn't give me as much as I requested.,wrong_amount_of_cash_received,2463
From what countries can I use an account?,country_support,9889
Help! When will the card arrive at my home?,card_delivery_estimate,1009
I have double-checked all of my recipient details but for some reason all of my transfers keep getting declined. I have no clue as to why.,declined_transfer,5659
"I want a Mastercard, instead.",visa_or_mastercard,4199
Is there a problem with your system being down or something? I have already tried 5 times to issue a standard transfer but I'm getting nowhere.,failed_transfer,7437
My card won't let me withdraw money.,declined_cash_withdrawal,4940
Cash has been deposited this morning but it hasn't came through.,balance_not_updated_after_cheque_or_cash_deposit,3405
How long do I wait for a transfer to take?,pending_transfer,6101
I need assistance to activate the card on my account.,activate_my_card,9296
I was trying to top-up and my credit card was declined. Can you tell me why?,top_up_failed,8595
Would I be able to get an account for my child?,age_limit,1644
Why is this payment pending?,pending_card_payment,5236
Are the funds I requested from a merchant a few days ago in my account? I do not see them.,Refund_not_showing_up,5814
Somebody made a withdrawal from my account for 500. I have my card so how can this be? Does somebody have a duplicate card or something? Help please.,cash_withdrawal_not_recognised,8821
I am having a huge problem with my card being declined and it's really important that I top-up today.  Would you please look into this further and let me know how I can get this fixed?,top_up_failed,8570
Why was my withdrawal declined,declined_cash_withdrawal,4930
is the a reason why my transfer has failed?,failed_transfer,7482
Am I gonna be charged for sending out more cards?,getting_spare_card,7808
Can you tell me more about limits to disposable virtual cards?,disposable_card_limits,4419
Why was I charged extra when transferring?,transfer_fee_charged,7171
My cash received does not match what has been requested,wrong_amount_of_cash_received,2426
"There are charges on my card from the past few day I am pretty sure I didnt make, can you please freeze it for me? How do I get my money returned since it wasnt me?",card_payment_not_recognised,3537
"How long do you expect me to wait for the transfer? It finally worked out, but has been pending for a long time and it's quite urgent.",pending_transfer,6028
How long will my top-up be pending?,pending_top_up,1993
Why do I have two charges It should only be one charge?,transaction_charged_twice,6447
how long are my top ups pending,pending_top_up,2013
Will I be charged for receiving the money?,top_up_by_bank_transfer_charge,1899
Are cards available to those outside of the UK?,country_support,9927
What is a pending cash withdrawal?,pending_cash_withdrawal,807
I exchanged cash when traveling and the rate was incorrect.,wrong_exchange_rate_for_cash_withdrawal,8263
I moved so I need to change my address. How do I do that?,edit_personal_details,3724
I hope to get a Visa card,visa_or_mastercard,4220
What is the verification process used for?,verify_top_up,7740
How do I get the passcode reset?,passcode_forgotten,4904
Why wasn't my contactless accepted at the metro?,contactless_not_working,1792
I didn't get all the money I asked for,wrong_amount_of_cash_received,2488
What is necessary for the identity verification?,verify_my_identity,9872
Are money transfers free?,transfer_fee_charged,7223
How much does currency exchange cost?,exchange_charge,8986
I was charged extra or a hidden fee when I purchased something from you. What's the deal? I didn't authorize that charge.,extra_charge_on_statement,651
Do I need to go to a physical bank to change my PIN?,change_pin,6910
"Hi, I had an issue with my card payment and It shows on my account that my payment went through. Then I got contacted from the seller saying ""they did not receive my payment"" then the payment was returned to my account. so I would like to see why it did that please.",reverted_card_payment?,6724
Will there be a charge for topping up by account with a SEPA transfer?,top_up_by_bank_transfer_charge,1818
My account says I have money but I withdrew it in cash.,pending_cash_withdrawal,797
I  see an extra 1£ charge on my app. Why did It charge me extra?,extra_charge_on_statement,712
Will I be charged for adding money by transfer?,top_up_by_bank_transfer_charge,1881
What do I do if my disposable virtual card doesn't work?,virtual_card_not_working,8204
The exchange rate was wrong?,wrong_exchange_rate_for_cash_withdrawal,8290
"help, I see money missing I didn't take out.",cash_withdrawal_not_recognised,8795
I purchased something abroad but the exchange rate is incorrect.,card_payment_wrong_exchange_rate,555
I lost my card. Can you help me?,lost_or_stolen_card,1553
Is topping up free?,top_up_by_card_charge,9124
I see a charge of 1L I do not recognize on my statement,extra_charge_on_statement,632
Why was I not able to complete my transfer?,failed_transfer,7530
Have have a small charge on my account from someone I purchased with but I'm not sure what it relates to.,extra_charge_on_statement,581
My app shows cash I didn't get.,cash_withdrawal_not_recognised,8826
"Hello, I was contacted by a seller who let me know my money didn't come through on their side. It most certainly came out of my account so I need this looked at immediately because now it has been returned to me!",reverted_card_payment?,6820
Who accepts the card?,card_acceptance,3112
I made a payment that's pending. Will it go through?,pending_card_payment,5221
I just got married and I need to change my name,edit_personal_details,3732
I lost the code and can not get into the app. Help!,passcode_forgotten,4862
I took out some cash from the ATM but it is still showing the transaction is pending.,pending_cash_withdrawal,779
I was recently mugged and would like to know if I have to have access to the app to use your services and how I would go about setting up your services on a new device belonging to a current user?,lost_or_stolen_phone,5302
"According to the app, I got cash from an ATM but I haven't made any transactions.",cash_withdrawal_not_recognised,8861
please delete account,terminate_account,6141
Will I be charged if I add more cards to the account?,getting_spare_card,7833
My money is all gone. What ways are okay to add money to my account?,transfer_into_account,7650
How can I locate the virtual card?,getting_virtual_card,3063
"I have been waiting for my transfer, shouldn't it be here already?",transfer_timing,6625
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",card_payment_wrong_exchange_rate,404
What is the maximum times I can auto top-up?,automatic_top_up,1209
I dont see my reciept,transfer_not_received_by_recipient,2838
"I just bought an item and would like to stop payment, is this possible?  The item has not been received yet.",request_refund,5506
I want to cancel a purchase,request_refund,5408
Cancel Transaction,cancel_transfer,2187
exchanging currencies costs what?,exchange_charge,8959
Where do I go to get my new card linked?,card_linking,266
who can put money in my account?,verify_source_of_funds,6489
How do I find out what countries you service and what countries you do not?,country_support,9945
How are your exchange rates calculated?,exchange_rate,342
I have an unknown direct debit payment on my account,direct_debit_payment_not_recognised,4804
Why can't I see the top up I made?,topping_up_by_card,4271
"I normally don't use ATMs, but I was in a rush today and had to withdraw some cash. The ATM gave me the wrong amount of money and now my app is not showing the same amount as it should. What do I do?",wrong_amount_of_cash_received,2382
The ATM machines keep declining my card and I don't know why. I thought I had money in my account. Why is this happening?,declined_cash_withdrawal,4964
It looks like I was charged twice for a single transaction,transaction_charged_twice,6343
What exchange rate will I receive?,exchange_rate,315
please help my transfer go through,failed_transfer,7463
Does the card you sent have a tracking number?,card_arrival,77
How can I know where my card will be accepted?,card_acceptance,3145
What do I do if I have exceeded all my PIN tries?,pin_blocked,1732
"I made a transfer and the receiver said an amount was received, but less than the right amount. I now have to transfer more to get the remainder to the receiver. Can you tell me about this. What's been going on?",transfer_fee_charged,7180
The cheque I deposited isn't showing in my account,balance_not_updated_after_cheque_or_cash_deposit,3379
The app is not able to realize that it is me.,unable_to_verify_identity,3921
I made a transfer and they haven't received the money I sent them.,transfer_not_received_by_recipient,2726
I think I deserve a refunded on a certain item.,request_refund,5458
How do I make my top up complete?,pending_top_up,2047
Do you offer free ATM withdrawals of ones hometown currency while on holiday?,wrong_exchange_rate_for_cash_withdrawal,8247
"the product is not working, can I get a refund?",request_refund,5492
Am I the only one who can top-up my account?,topping_up_by_card,4308
Can you tell me why my credit card was declined while trying to top-up?,top_up_failed,8576
Earlier today I took money out the ATM. After checking the app the amount is so much higher than the amount I received.,wrong_amount_of_cash_received,2438
My transfer to an account failed.,beneficiary_not_allowed,7016
Why was I not able to get cash from the ATM?,declined_cash_withdrawal,5028
"Someone has stolen my phone, what should I do?",lost_or_stolen_phone,5254
How many purchases can I make with one disposable card?,disposable_card_limits,4387
I would like to terminate my account.,terminate_account,6212
European bank card for top up will come with any extra fees?,top_up_by_card_charge,9165
A Bank ATM did not give my card back. What do I do now?,card_swallowed,6276
Can I have multiple currencies in my account?,fiat_currency_support,925
The exchange rate for my card payment doesn't seem right.,card_payment_wrong_exchange_rate,541
What if I need my salary in another currency?,receiving_money,7403
What is the max amount of top-ups?,top_up_limits,2234
Do you have charges now when you pay with a card?,card_payment_fee_charged,2691
How much will it cost me for a SEPA transfer?,top_up_by_bank_transfer_charge,1882
How long to UK transfers usually take? I made a transfer but it didn't pop up in my history yet. I just want to make sure it went through.,balance_not_updated_after_bank_transfer,8655
I lost my phone and need help so someone doesn't access my account.,lost_or_stolen_phone,5320
I'm still waiting on my new card to be delivered!,card_arrival,141
"I reside in the US, but I want a card.",country_support,9943
I am required to make several disposable cards every day.,disposable_card_limits,4414
How much is the charge for a foreign currency exchange?,exchange_charge,9029
The card has suffered a security breach.,compromised_card,4540
HELP. My account has been deducted already and the Seller says they haven't received the money yet? When can they expect it?,reverted_card_payment?,6771
"My payment was put back, I think.",reverted_card_payment?,6792
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and was declined?",transaction_charged_twice,6460
Why was I unable to finish this transfer?,failed_transfer,7431
My card payment's cancelled,reverted_card_payment?,6815
Can you tell me what the cash withdrawal is in my statement?,cash_withdrawal_not_recognised,8876
What transfer methods do you accept?,transfer_into_account,7616
Can my friends top up my account?,topping_up_by_card,4243
I am not satisfied with your company and wish to delete all accounts immediately.,terminate_account,6165
is there something blocking me from making transfers,beneficiary_not_allowed,7005
I noticed an extra charge on the purchase that I made last Saturday on my account. Can you see if I received the correct exchange rate?,card_payment_wrong_exchange_rate,492
Why can't I get cash out?,declined_cash_withdrawal,4934
Where do I have access to a virtual card?,getting_virtual_card,3019
I need to freeze my card as soon as possible. I just checked my account and saw that there have been several payments that I don't recognize over the course of a few days. Can we investigate and get my money back?,card_payment_not_recognised,3524
How many disposable cards can I have at one time?,disposable_card_limits,4426
Please cancel the latest ATM charge on my card as my card was declined earlier today and I did not receive that cash.,pending_cash_withdrawal,851
Why was my cash withdrawal declined by the ATM?,declined_cash_withdrawal,5001
I need to cancel my recent transfer. I made a mistake. Please help quickly before the transfer goes through.,cancel_transfer,2228
How do I get a refund for an unauthorized direct debit payment?,direct_debit_payment_not_recognised,4777
why don't you accept american express for adding money to my account,supported_cards_and_currencies,2896
"How long do EU transfers actually take? I bought something online a couple days ago, sent the money immediately online but the seller says it's still not there yet.",pending_transfer,6058
I really was trying to complete this exhange. I was trying to purchase some crypto but the app won't allow me to do it. Can you tell me what's going on here?,beneficiary_not_allowed,7070
I can't see my Google Pay top up. Is it not working correctly?,apple_pay_or_google_pay,9747
What is the age limit for an account?,age_limit,1582
The ATM did not give me my card back?,card_swallowed,6263
What are the age requirements for service?,age_limit,1599
I still have not received an answer as to why I was charged $1.00 in a transaction?,extra_charge_on_statement,669
My card got stuck in an ATM.,card_swallowed,6250
Account topping up bank transfers to my account assistance please?,transfer_into_account,7625
I can't access my money. Is it because somethings wrong with the top-up? I set it up correctly.,top_up_failed,8594
Where are the cards transported to?,order_physical_card,8163
"If I bought something I didn't like, can I get a refund?",request_refund,5406
Why didn't my payment process,pending_card_payment,5198
I tried to top up my account and it didn't work,top_up_failed,8606
How do I order a new card when my old one is ready to expire?,card_about_to_expire,9547
What is this strange payment in my account?,card_payment_not_recognised,3510
Why does my transfer keep generating an error message?,beneficiary_not_allowed,7044
My exchange rate is wrong when I get cash.,wrong_exchange_rate_for_cash_withdrawal,8269
Why couldn't I transfer to a beneficiairy?,beneficiary_not_allowed,7127
"I thought transfers were free, why was I charged?",transfer_fee_charged,7221
Help! I just realised someone has apparently withdrawn money using my card! It's from some odd remote town where I definitely haven't been. Please freeze it immediately!,cash_withdrawal_not_recognised,8834
What was the extra charge for withdrawing money?,cash_withdrawal_charge,9473
Can you tell me how transferring money into my account works?,transfer_into_account,7645
Is there a  way to  get around fees,card_payment_fee_charged,2677
How do I add cash to my account?,top_up_by_cash_or_cheque,8031
I made a transfer but my balance hasn't been updated,balance_not_updated_after_bank_transfer,8673
Where can I check out the source of available funds in my account?,verify_source_of_funds,6581
When I went to withdraw cash today the ATM gave me the wrong amount of cash. The app is showing a larger amount.,wrong_amount_of_cash_received,2337
"After I make a payment, how long will it be before it transitions from ""pending"" to complete?",pending_card_payment,5150
Is there an issue with my card payment as it has not gone through.,declined_card_payment,5960
Change my pin?,change_pin,6937
How long should I wait for the card to arrive?,card_delivery_estimate,1047
Can you tell me where  can change my PIN?,change_pin,6938
In what way can I use the disposable cards?,get_disposable_virtual_card,8410
"I'm going to travel, can I have it add money automatically in certain intervals?",automatic_top_up,1167
A cash withdrawal has been done that I didn't do.,cash_withdrawal_not_recognised,8842
What is the minimum age required to open an account with your service?,age_limit,1590
"Sort your top up out please! It's been pending since an hour already, can you please make this go through asap I really need the money",pending_top_up,1936
"Hi, In morning, i was trying to withdraw money from my card, but it got declined. So far it was working fine. Could you please check my card.",declined_cash_withdrawal,5054
Do you know what your exchange rates are?,exchange_rate,301
Does it cost anyting to get my own card?,order_physical_card,8071
The ATM didn't give me enough money! I asked for more than it gave. What do I do?,wrong_amount_of_cash_received,2433
I don't know why my credit card was declined while I was trying to top-up. Was it something on my end or was there something wrong with the top-up function?,top_up_failed,8581
What do I do to exchange currency?,exchange_via_app,1371
Why would my card payment get reverted?,reverted_card_payment?,6760
I was only given $20 when I tried to get $100,wrong_amount_of_cash_received,2481
It seems like a transfer is pending.,pending_transfer,6041
I would like to change my address.,edit_personal_details,3681
"When I withdrew my money, why was there an extra charge?",cash_withdrawal_charge,9380
I tried to use my card today in the restaurant but it didn't work and just got declined. What's wrong?,card_not_working,1286
Why has my top up failed?,top_up_failed,8503
Why did the cash deposit not show up in my account?,balance_not_updated_after_cheque_or_cash_deposit,3417
What is this cash withdrawal on my statement?,cash_withdrawal_not_recognised,8825
"I haven't received my transfer funds yet, where are they?",pending_transfer,6015
Why can't I see a transfer to my account?,balance_not_updated_after_bank_transfer,8651
If i want to change my pin number can I directly from an ATM?,change_pin,6901
I want to get a virtual card!,getting_virtual_card,3065
Why can't I top up by cheque?,top_up_by_cash_or_cheque,7980
How long will the transfer take?,pending_transfer,6043
Do I get charged if I top up with my European bank card?,top_up_by_card_charge,9109
I didn't make the direct debit payment on my account.,direct_debit_payment_not_recognised,4759
How do I use my card to top up?,topping_up_by_card,4334
Been trying to transfer money this morning but keep getting rejected. I don't understand why this is happening.,failed_transfer,7519
I need to know when a payment will actually go through. I completed a payment using my card but it is just showing as pending at this point and it has been a while ago.,pending_card_payment,5159
I believe that my transfer hasn't gone through.,failed_transfer,7440
My top up didn't go through,top_up_failed,8524
Are visa and mastercard accepted,visa_or_mastercard,4125
Would I be able to get a second card?,getting_spare_card,7824
Where do I go to change my PIN?,change_pin,6987
I am afraid to give you all my identify details.,why_verify_identity,3891
What happened to my top-up? It was all done and now it's gone! Are you having problems with your system?,top_up_reverted,3169
Will the PIN come separately?,get_physical_card,4057
"I'm looking in the App and can't find my PIN, where should I look?",get_physical_card,4089
is a transfer to a beneficiary allowed?,beneficiary_not_allowed,7152
Why am I getting charged more for using my card?,card_payment_fee_charged,2649
I am locked out from entering my pin.,pin_blocked,1743
I think I forgot my passcode,passcode_forgotten,4911
"How long does EU transfer take? I bought something online a couple days ago , sent the money immediately online but the seller says it is still not there yet",pending_transfer,6106
I need a transaction reversed from my account.,transaction_charged_twice,6438
"Hi, I am interested buying crypto currency but unable to purchase it through the application. I do want to do the exchange, Could you please let me know what is the problem?",beneficiary_not_allowed,7046
Do you charge anything for topping up?,top_up_by_bank_transfer_charge,1867
Why was my card payment reversed?,reverted_card_payment?,6861
Is it possible for me to top up with a cheque?,top_up_by_cash_or_cheque,8007
Please explain why my top-up hasn't been processed yet?,pending_top_up,2020
I did a payment but it was reverted by the app,reverted_card_payment?,6808
"My card payment was reverted, why?",reverted_card_payment?,6764
How long will an urgent transfer from China take?,transfer_timing,6610
How long will my ATM withdrawal be pending?,pending_cash_withdrawal,843
Why have I received a rebate for my payment after a week?,reverted_card_payment?,6862
Do you charge a fee for adding money in USD?,top_up_by_card_charge,9116
